,Predicted_10051090,Predicted_17049000,Predicted_18063100,Predicted_18069000,Predicted_19041000,Predicted_19053100,Predicted_19059000,Predicted_20041000,Predicted_21021000,Predicted_21031000,Predicted_21039020,Predicted_21039090,Predicted_21069000,Predicted_22021010,Predicted_22030000,Predicted_24022000,Predicted_25232900,Predicted_27101964,Predicted_27101966,Predicted_29025000,Predicted_29349990,Predicted_30021210,Predicted_30043910,Predicted_30049029,Predicted_30049092,Predicted_30059020,Predicted_30059090,Predicted_30061051,Predicted_30061059,Predicted_30064020,Predicted_30069100,Predicted_32041700,Predicted_32064900,Predicted_32141000,Predicted_32151100,Predicted_32151900,Predicted_33021000,Predicted_33030010,Predicted_33030020,Predicted_33041000,Predicted_33042000,Predicted_33043020,Predicted_33049100,Predicted_33049970,Predicted_33049980,Predicted_33049990,Predicted_33051010,Predicted_33059020,Predicted_33059030,Predicted_33059090,Predicted_33069010,Predicted_33071090,Predicted_33072010,Predicted_33072090,Predicted_34011100,Predicted_34013000,Predicted_34029000,Predicted_38210000,Predicted_38221300,Predicted_38221900,Predicted_38229000,Predicted_38249999,Predicted_39012000,Predicted_39069000,Predicted_39191020,Predicted_39201010,Predicted_39231010,Predicted_39233090,Predicted_39235010,Predicted_39239090,Predicted_39241000,Predicted_39249000,Predicted_39259000,Predicted_39263000,Predicted_39269090,Predicted_40082100,Predicted_40091100,Predicted_40092200,Predicted_40093100,Predicted_40093200,Predicted_40103100,Predicted_40103900,Predicted_40151990,Predicted_40169310,Predicted_40169390,Predicted_40169900,Predicted_4061020,Predicted_42022210,Predicted_42022220,Predicted_42023210,Predicted_42029210,Predicted_42029220,Predicted_42032900,Predicted_44160010,Predicted_48114110,Predicted_48191010,Predicted_48192010,Predicted_48194000,Predicted_49019939,Predicted_49019991,Predicted_49070090,Predicted_61013000,Predicted_61023000,Predicted_61034200,Predicted_61034300,Predicted_61044300,Predicted_61046200,Predicted_61046300,Predicted_61062000,Predicted_61071100,Predicted_61082100,Predicted_61082200,Predicted_61091000,Predicted_61099040,Predicted_61099090,Predicted_61102000,Predicted_61103000,Predicted_61112000,Predicted_61113000,Predicted_61121200,Predicted_61123100,Predicted_61124100,Predicted_61130000,Predicted_61143000,Predicted_61151000,Predicted_61152200,Predicted_61152900,Predicted_61159500,Predicted_61159600,Predicted_61161000,Predicted_61169300,Predicted_61178000,Predicted_62014000,Predicted_62024000,Predicted_62034210,Predicted_62034290,Predicted_62034300,Predicted_62043300,Predicted_62044200,Predicted_62044300,Predicted_62045300,Predicted_62046210,Predicted_62046290,Predicted_62046310,Predicted_62046900,Predicted_62052000,Predicted_62063000,Predicted_62064000,Predicted_62104000,Predicted_62105000,Predicted_62113300,Predicted_62114300,Predicted_62121020,Predicted_62122000,Predicted_63079090,Predicted_64019200,Predicted_64021900,Predicted_64029190,Predicted_64029910,Predicted_64029990,Predicted_64031900,Predicted_64034000,Predicted_64039990,Predicted_64041100,Predicted_64041900,Predicted_64069000,Predicted_65050000,Predicted_65061000,Predicted_68042100,Predicted_68042210,Predicted_70071100,Predicted_70072100,Predicted_70091000,Predicted_71171920,Predicted_71171990,Predicted_72193300,Predicted_72193400,Predicted_72254000,Predicted_73043900,Predicted_73065000,Predicted_73072100,Predicted_73072300,Predicted_73072900,Predicted_73079100,Predicted_73079200,Predicted_73079900,Predicted_73089000,Predicted_73121010,Predicted_73151100,Predicted_73181500,Predicted_73181600,Predicted_73182100,Predicted_73182200,Predicted_73182400,Predicted_73182900,Predicted_73202000,Predicted_73239300,Predicted_73261900,Predicted_73269000,Predicted_76072010,Predicted_76129000,Predicted_76151000,Predicted_76169990,Predicted_82023900,Predicted_82032000,Predicted_82055900,Predicted_82071390,Predicted_82071990,Predicted_82075010,Predicted_82075090,Predicted_82079000,Predicted_82089000,Predicted_82090000,Predicted_82142000,Predicted_83014000,Predicted_83021000,Predicted_83023000,Predicted_83024900,Predicted_83071000,Predicted_83112000,Predicted_84099190,Predicted_84099990,Predicted_84122100,Predicted_84122900,Predicted_84123100,Predicted_84129000,Predicted_84133090,Predicted_84135000,Predicted_84136000,Predicted_84137000,Predicted_84138100,Predicted_84139100,Predicted_84145900,Predicted_84148090,Predicted_84149000,Predicted_84159000,Predicted_84185000,Predicted_84189900,Predicted_84199090,Predicted_84212100,Predicted_84212300,Predicted_84212990,Predicted_84213110,Predicted_84213190,Predicted_84213900,Predicted_84219900,Predicted_84229000,Predicted_84312000,Predicted_84313100,Predicted_84314320,Predicted_84314390,Predicted_84314900,Predicted_84389000,Predicted_84433110,Predicted_84433120,Predicted_84433900,Predicted_84439100,Predicted_84439930,Predicted_84439990,Predicted_84661000,Predicted_84669300,Predicted_84672110,Predicted_84672220,Predicted_84672920,Predicted_84672990,Predicted_84679900,Predicted_84689000,Predicted_84713040,Predicted_84715000,Predicted_84716040,Predicted_84716090,Predicted_84717000,Predicted_84718000,Predicted_84733000,Predicted_84749010,Predicted_84749090,Predicted_84779000,Predicted_84798990,Predicted_84799000,Predicted_84811000,Predicted_84812010,Predicted_84814000,Predicted_84818090,Predicted_84819000,Predicted_84821010,Predicted_84821090,Predicted_84822000,Predicted_84823000,Predicted_84825000,Predicted_84829900,Predicted_84831090,Predicted_84833010,Predicted_84833020,Predicted_84834011,Predicted_84835000,Predicted_84836000,Predicted_84839000,Predicted_84841000,Predicted_84842000,Predicted_84849000,Predicted_84879010,Predicted_84879090,Predicted_85011000,Predicted_85013100,Predicted_85015100,Predicted_85030090,Predicted_85043100,Predicted_85044000,Predicted_85071010,Predicted_85072000,Predicted_85076000,Predicted_85078000,Predicted_85081100,Predicted_85111000,Predicted_85114000,Predicted_85115000,Predicted_85118000,Predicted_85122000,Predicted_85129000,Predicted_85159000,Predicted_85171300,Predicted_85176210,Predicted_85176290,Predicted_85176900,Predicted_85181000,Predicted_85182100,Predicted_85182200,Predicted_85182900,Predicted_85183000,Predicted_85219090,Predicted_85234990,Predicted_85235100,Predicted_85235200,Predicted_85258900,Predicted_85269100,Predicted_85271300,Predicted_85272110,Predicted_85279190,Predicted_85285910,Predicted_85286900,Predicted_85287220,Predicted_85291000,Predicted_85299000,Predicted_85318000,Predicted_85361010,Predicted_85362000,Predicted_85364999,Predicted_85365010,Predicted_85365090,Predicted_85366900,Predicted_85369013,Predicted_85369019,Predicted_85369090,Predicted_85371000,Predicted_85381000,Predicted_85389000,Predicted_85423100,Predicted_85437090,Predicted_85442000,Predicted_85443000,Predicted_85444200,Predicted_85447000,Predicted_86090000,Predicted_87032291,Predicted_87042121,Predicted_87042271,Predicted_87043121,Predicted_87081000,Predicted_87082930,Predicted_87082960,Predicted_87082970,Predicted_87082990,Predicted_87083010,Predicted_87083020,Predicted_87083090,Predicted_87084000,Predicted_87085000,Predicted_87087020,Predicted_87088090,Predicted_87089100,Predicted_87089390,Predicted_87089400,Predicted_87089990,Predicted_87120030,Predicted_87168090,Predicted_90013010,Predicted_90021190,Predicted_90031100,Predicted_90041090,Predicted_90049080,Predicted_90138000,Predicted_90158000,Predicted_90159000,Predicted_90183910,Predicted_90183920,Predicted_90183930,Predicted_90183940,Predicted_90183990,Predicted_90189089,Predicted_90189090,Predicted_90192090,Predicted_90211000,Predicted_90212910,Predicted_90213110,Predicted_90213120,Predicted_90213190,Predicted_90213920,Predicted_90213990,Predicted_90230000,Predicted_9023090,Predicted_90261090,Predicted_90262090,Predicted_90269000,Predicted_90278999,Predicted_90279090,Predicted_90318090,Predicted_90328900,Predicted_90329000,Predicted_94029090,Predicted_94032090,Predicted_94036090,Predicted_95045000,Predicted_95062900,Predicted_95066210,Predicted_95067000,Predicted_95069100,Predicted_95069910,Predicted_95069990,Predicted_96033000,Predicted_96190090
True_48114110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_48191010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,385,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_48192010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,378,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
True_48194000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,382,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
True_49019939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
True_49019991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_49070090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
True_61013000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,189,1,1,41,1,0,4,0,0,0,0,0,54,1,1,19,0,4,37,24,0,2,0,0,4,0,0,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
True_61023000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,143,1,17,38,0,24,21,0,0,2,0,13,4,0,22,0,10,23,4,18,1,0,0,31,1,0,4,0,1,0,0,4,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_61034200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,293,0,1,10,0,0,7,4,0,20,1,5,3,2,14,0,0,1,1,0,0,0,0,14,7,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
True_61034300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,3,4,97,3,0,10,2,0,0,0,2,22,5,0,12,0,7,52,19,0,2,0,0,15,0,0,3,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
